"age","income","employment_years","debt","credit_history_years","num_open_accounts","num_delinquencies","has_mortgage","has_car_loan","has_credit_card","loan_amount","loan_to_income","loan_purpose","employment_status","region"
"57","80983.47","32","1694.36","41","4","1","1","0","1","33797.07","0.417","personal","student","north"
"47","40480.82","24","17753.52","27","1","1","0","1","1","6880.49","0.17","home_improvement","unemployed","south"
"51","41788.5","3","8731.05","30","9","0","1","0","1","12944.55","0.31","home_improvement","student","north"
"47","71170.98","20","9350.14","28","5","0","1","1","1","20415.33","0.287","home_improvement","employed","east"
"46","55569.28","24","23871.91","22","9","0","1","1","1","48849.96","0.879","personal","employed","south"
"22","72949.69","3","1059.2","0","2","1","0","0","1","9399.28","0.129","medical","employed","south"
"47","59727.06","25","4135.62","24","8","1","1","1","0","18556.85","0.311","education","employed","north"
"59","74033.27","22","16848.96","43","7","2","1","0","1","41850.33","0.565","medical","employed","east"
"33","39298.44","2","26632.92","10","11","0","1","0","1","8224.69","0.209","home_improvement","unemployed","west"
"49","59758.31","24","29857.92","27","2","0","0","1","0","16807.42","0.281","education","self_employed","east"
"19","55786.2","0","7019.26","0","5","0","0","0","0","24976.08","0.448","home_improvement","self_employed","west"
"36","35682.18","10","26248.52","15","11","0","1","0","1","22767.63","0.638","education","employed","west"
"40","28730.44","9","5590.29","17","5","0","0","0","1","43486.56","1.514","home_improvement","employed","west"
"69","73714.98","28","36914.51","45","8","1","0","1","1","26727.11","0.363","medical","employed","east"
"29","52980.95","2","1394.75","9","2","0","0","0","0","39916.59","0.753","medical","employed","north"
"32","39554.39","9","30941.75","16","9","0","0","0","1","14599.87","0.369","personal","employed","south"
"39","58076.42","3","7122.17","18","4","0","0","0","1","8892.12","0.153","home_improvement","employed","south"
"69","82560.38","34","39158.96","47","7","0","0","1","1","16614.15","0.201","auto","retired","east"
"62","15000.0","34","22095.85","46","10","2","0","1","1","2613.45","0.174","home_improvement","employed","west"
"19","30067.23","0","2807.8","0","8","0","0","1","0","27252.68","0.906","business","employed","east"
"30","41542.27","6","8733.14","13","6","0","0","1","1","14211.83","0.342","business","employed","south"
"60","89223.58","14","24374.17","36","3","0","0","1","0","9923.17","0.111","personal","self_employed","west"
"21","65651.74","2","27631.73","1","4","0","0","0","0","27479.88","0.419","business","employed","east"
"62","75346.34","30","14151.41","44","10","0","0","0","0","2844.26","0.038","education","employed","west"
"32","37196.78","5","15535.9","16","3","2","0","1","0","31557.53","0.848","home_improvement","employed","east"
"65","37609.28","11","24100.24","49","8","2","0","0","1","12824.94","0.341","auto","employed","east"
"33","68956.27","4","16581.58","11","6","0","0","0","0","37386.45","0.542","auto","self_employed","south"
"40","61165.49","10","522.06","21","4","0","0","0","0","14108.94","0.231","medical","employed","south"
"52","70974.78","29","5244.31","29","8","0","1","0","0","29478.64","0.415","auto","employed","south"
"24","56246.58","4","17821.44","6","4","0","0","1","0","22693.44","0.403","home_improvement","unemployed","south"
"46","65562.87","7","29585.79","22","4","0","1","0","1","31158.53","0.475","personal","employed","east"
"44","63162.38","20","34391.79","20","6","1","1","1","1","21649.2","0.343","education","self_employed","south"
"58","75555.35","16","24354.35","42","9","0","1","0","0","4950.96","0.066","auto","employed","north"
"69","76140.17","39","18447.49","48","10","1","1","0","0","35131.9","0.461","auto","self_employed","north"
"52","27602.56","9","23985.77","28","7","0","1","1","1","18684.76","0.677","auto","employed","west"
"39","15054.63","12","6998.99","21","8","0","1","0","1","31842.74","2.115","medical","employed","south"
"39","80034.91","17","13161.23","23","9","0","1","0","0","30353.7","0.379","education","employed","east"
"39","83754.5","6","5110.43","16","3","0","0","0","1","8400.55","0.1","business","retired","west"
"60","39587.54","27","15.09","40","3","0","1","1","0","6278.07","0.159","personal","employed","north"
"34","22803.29","14","19002.59","18","6","1","0","1","0","29830.33","1.308","auto","student","west"
"26","61980.7","1","17226.16","3","7","0","0","0","1","15451.26","0.249","home_improvement","student","east"
"35","78616.76","2","23251.83","13","8","0","1","1","0","34046.44","0.433","home_improvement","employed","east"
"19","95951.89","0","21553.34","3","2","0","1","1","0","17326.99","0.181","medical","employed","south"
"23","70325.95","1","17911.73","5","9","0","0","0","0","35351.15","0.503","auto","employed","east"
"22","52565.67","0","21679.4","6","5","0","0","1","0","26349.57","0.501","business","retired","north"
"58","42137.39","19","14487.8","34","10","0","1","1","1","24319.62","0.577","personal","self_employed","south"
"55","60229.03","26","19954.7","39","8","0","1","0","0","14389.83","0.239","home_improvement","employed","west"
"54","54014.71","11","6286.27","31","11","0","0","0","0","23486.41","0.435","auto","employed","south"
"42","39698.64","8","19436.47","22","7","1","1","0","0","37892.79","0.955","personal","unemployed","east"
"55","100975.11","28","23021.01","34","6","1","0","1","0","19186.77","0.19","business","employed","west"
"26","95703.37","4","6963.82","3","3","0","0","1","1","27967.62","0.292","education","employed","east"
"64","82720.97","35","15621.99","40","5","0","0","0","1","20695.4","0.25","home_improvement","employed","south"
"44","41582.99","11","7516.77","27","10","0","1","1","0","21869.06","0.526","auto","employed","west"
"66","77100.39","41","8681.92","50","5","0","0","0","1","45851.16","0.595","medical","student","west"
"25","72792.53","4","1500.85","8","1","0","0","0","0","38025.95","0.522","personal","unemployed","east"
"43","68850.91","4","30189.3","21","3","0","0","1","0","21191.06","0.308","personal","employed","north"
"54","84993.31","29","27788.22","33","7","0","0","1","1","23216.81","0.273","business","employed","south"
"43","72707.42","12","21449.21","27","7","0","1","0","0","9471.94","0.13","auto","unemployed","south"
"41","74800.28","4","38666.35","23","11","0","0","0","1","17405.43","0.233","education","employed","north"
"26","72738.13","1","12729.05","6","11","1","1","0","1","24640.97","0.339","auto","employed","south"
"37","66815.83","12","51381.15","15","6","0","0","0","1","32759.2","0.49","medical","employed","north"
"30","24327.78","1","12269.65","11","7","0","0","1","0","31238.31","1.284","personal","self_employed","east"
"33","61672.42","4","18062.32","9","9","0","0","1","0","3361.11","0.054","home_improvement","retired","south"
"53","48876.16","7","10226.67","29","1","1","0","0","1","34654.74","0.709","auto","self_employed","east"
"50","34403.18","14","19467.91","28","7","1","1","0","1","18668.39","0.543","education","employed","south"
"49","93636.33","13","25027.38","29","6","0","0","1","0","5195.13","0.055","auto","self_employed","east"
"36","94579.91","9","13633.0","13","9","0","1","0","0","40045.77","0.423","home_improvement","employed","east"
"67","87184.41","15","36320.64","45","9","0","1","1","1","41949.18","0.481","medical","unemployed","north"
"22","65104.27","0","17869.79","2","8","0","0","0","0","23956.2","0.368","business","employed","south"
"35","87012.5","10","18245.82","16","8","0","0","0","0","30631.9","0.352","medical","employed","east"
"24","60241.06","2","4092.03","1","8","0","1","0","1","31511.74","0.523","personal","employed","east"
"35","64055.95","10","20021.99","14","7","0","0","0","1","40936.58","0.639","auto","employed","north"
"68","38130.57","9","13391.67","51","3","2","0","0","1","30921.03","0.811","medical","employed","west"
"37","67939.83","2","7701.12","13","4","0","0","1","1","84.68","0.001","home_improvement","employed","north"
"65","61207.72","14","5682.31","49","9","0","0","0","1","50147.12","0.819","business","unemployed","west"
"43","33946.96","11","47061.16","21","7","0","0","1","0","35984.85","1.06","personal","unemployed","east"
"54","58976.06","14","11838.27","33","3","0","1","1","1","12357.14","0.21","business","employed","south"
"41","58405.41","17","2483.83","20","10","0","1","1","0","4555.62","0.078","medical","employed","north"
"31","95951.22","5","6621.34","15","11","2","1","1","0","27572.2","0.287","home_improvement","employed","west"
"57","77884.27","20","14381.19","37","7","1","0","0","1","15826.1","0.203","medical","employed","east"
"68","60228.91","28","21560.0","44","3","0","0","0","1","24949.93","0.414","business","employed","west"
"31","64975.75","1","21657.56","13","11","1","1","1","1","31151.1","0.479","education","student","west"
"58","60884.25","20","23119.37","36","3","0","0","0","1","11503.37","0.189","personal","retired","north"
"31","55941.72","4","7261.68","8","5","0","0","1","0","3258.38","0.058","medical","employed","east"
"55","38351.46","16","19085.29","31","10","0","1","1","0","25787.28","0.672","personal","unemployed","south"
"59","56978.96","7","4487.29","39","6","0","0","0","0","11999.18","0.211","education","self_employed","west"
"41","45078.03","16","7564.28","23","3","0","1","0","0","22191.44","0.492","home_improvement","employed","north"
"56","34993.69","32","3987.49","34","1","0","0","0","0","149.9","0.004","business","self_employed","north"
"32","70224.44","1","739.33","12","4","0","0","0","0","16217.26","0.231","business","employed","east"
"22","67825.29","2","27770.51","1","8","2","1","0","0","30724.28","0.453","education","employed","east"
"23","24265.85","3","23263.34","1","8","0","0","1","1","29088.99","1.199","business","retired","east"
"41","57546.31","7","26719.98","19","3","1","1","1","1","8174.63","0.142","medical","self_employed","south"
"64","79914.03","33","15471.76","46","2","0","0","0","0","2476.03","0.031","education","employed","south"
"24","81184.47","3","24321.69","2","8","1","0","1","0","20236.46","0.249","business","employed","west"
"41","80516.74","19","6135.47","21","2","0","1","1","0","28415.49","0.353","home_improvement","retired","west"
"54","60778.26","31","25357.05","30","1","0","1","1","0","26077.63","0.429","medical","employed","west"
"28","43099.09","1","17125.44","7","6","0","1","1","1","12317.6","0.286","home_improvement","student","south"
"55","38326.02","16","22525.32","31","7","2","1","0","1","24467.37","0.638","business","unemployed","west"
"33","66892.1","8","19560.28","9","3","0","1","1","1","42535.33","0.636","education","employed","south"
"60","67585.6","9","3155.34","36","3","0","1","0","0","23077.17","0.341","personal","self_employed","west"
"48","85746.62","11","2976.48","26","3","1","0","0","0","4497.22","0.052","home_improvement","self_employed","west"
"46","81999.59","24","6455.35","25","4","0","1","0","0","23048.01","0.281","personal","unemployed","north"
"27","57355.43","1","21779.01","10","1","1","1","0","1","50659.35","0.883","home_improvement","employed","west"
"42","35115.88","11","23281.1","23","1","0","0","1","1","689.14","0.02","medical","employed","east"
"62","53617.87","34","1415.31","42","5","0","1","0","1","20445.87","0.381","education","employed","west"
"19","64344.62","0","3226.81","0","1","0","0","1","1","16604.97","0.258","home_improvement","self_employed","east"
"57","55958.34","18","6321.17","36","4","0","0","1","1","21438.24","0.383","medical","unemployed","north"
"43","48442.12","22","10712.34","24","7","0","0","0","1","22913.78","0.473","medical","unemployed","west"
"55","65057.7","17","1344.61","38","1","0","1","1","0","37099.58","0.57","education","employed","north"
"52","49920.85","6","2064.62","30","7","0","0","1","0","21271.75","0.426","business","employed","west"
"40","47438.68","3","5137.98","21","7","1","0","1","0","39158.89","0.825","auto","employed","north"
"34","66229.06","13","16035.05","18","7","2","0","0","0","18235.17","0.275","home_improvement","unemployed","west"
"50","51960.15","10","832.87","32","7","0","0","0","1","14747.95","0.284","education","employed","south"
"25","64882.09","3","13610.36","2","9","0","0","0","0","9962.26","0.154","auto","unemployed","north"
"48","65464.08","5","27702.63","31","1","0","1","1","0","7256.31","0.111","personal","employed","north"
"22","37211.42","1","621.36","3","2","1","1","1","0","24136.72","0.649","education","employed","south"
"51","50375.18","27","12522.65","31","4","1","0","1","1","50810.0","1.009","personal","student","west"
"50","88755.54","16","27297.08","34","8","0","1","0","1","26873.53","0.303","auto","employed","west"
"22","36758.41","3","9980.78","5","10","0","1","1","0","30301.21","0.824","personal","employed","east"
"57","17666.91","11","8115.96","33","11","2","0","0","0","13804.53","0.781","home_improvement","self_employed","east"
"39","22763.1","10","28961.95","18","7","1","1","1","1","16335.0","0.718","education","employed","south"
"58","60582.2","31","11325.58","41","5","0","1","1","1","34769.62","0.574","education","retired","west"
"20","60618.35","0","28253.94","3","5","1","0","0","1","50130.4","0.827","home_improvement","student","south"
"27","57647.78","2","20147.58","8","1","0","1","0","1","42319.22","0.734","business","self_employed","west"
"43","84283.8","19","10885.86","21","6","0","0","0","1","32078.67","0.381","personal","employed","south"
"27","15000.0","3","20756.29","5","6","1","0","1","1","20527.26","1.368","personal","employed","south"
"35","67918.68","8","18845.39","18","3","0","1","1","1","23145.78","0.341","education","student","south"
"52","91228.76","29","27250.59","30","9","0","0","0","0","8697.39","0.095","auto","employed","east"
"25","37444.38","1","8419.85","1","9","2","0","0","1","1722.51","0.046","personal","retired","east"
"53","52403.87","11","15494.47","35","4","1","1","0","0","3098.02","0.059","education","self_employed","west"
"23","44942.16","0","14261.81","7","11","0","1","0","0","20747.0","0.462","medical","employed","north"
"27","42113.08","3","23449.78","3","2","0","0","1","1","15620.12","0.371","education","employed","north"
"48","53474.76","7","2697.85","28","11","1","0","0","0","2041.63","0.038","personal","self_employed","west"
"59","88549.71","26","27203.72","37","9","0","0","1","0","19440.15","0.22","home_improvement","employed","west"
"26","96747.73","1","20595.95","8","3","3","0","0","1","15223.55","0.157","home_improvement","employed","north"
"33","53281.22","9","803.1","15","8","0","1","1","0","2407.27","0.045","education","self_employed","west"
"66","98101.2","14","29499.15","48","4","0","1","1","1","14447.31","0.147","business","employed","south"
"69","60711.53","19","41809.12","52","9","0","0","0","0","15185.7","0.25","personal","employed","west"
"48","95073.82","11","27022.01","28","2","1","0","0","1","10750.44","0.113","business","self_employed","west"
"41","58134.03","15","32123.82","25","3","4","1","1","1","33900.05","0.583","education","unemployed","east"
"36","62621.16","8","16024.46","13","4","0","1","0","1","8543.52","0.136","education","employed","north"
"49","67309.49","12","4938.06","29","3","0","0","0","1","9786.98","0.145","education","retired","west"
"48","123577.07","23","7129.45","24","4","1","1","1","0","20049.29","0.162","auto","student","north"
"33","77025.71","8","18060.98","13","7","0","0","0","1","21441.91","0.278","home_improvement","employed","south"
"19","45854.71","0","7896.25","1","7","0","0","1","1","26063.23","0.568","business","employed","east"
"25","79379.96","5","4025.08","5","7","2","1","1","1","11915.4","0.15","education","unemployed","north"
"67","52763.35","18","14247.04","50","3","1","1","0","1","6231.14","0.118","personal","employed","south"
"39","50205.0","2","22387.02","16","3","2","1","0","1","19890.26","0.396","personal","unemployed","west"
"43","78172.03","12","2433.09","21","11","0","1","0","1","13376.33","0.171","medical","employed","north"
"42","60621.71","4","9613.47","25","3","0","0","0","0","43266.07","0.714","education","employed","south"
"58","65571.52","11","33118.45","37","2","2","1","0","1","15136.59","0.231","business","employed","north"
"21","60279.7","2","2096.54","1","5","0","0","1","0","19202.22","0.319","business","employed","east"
"22","66731.66","0","25437.13","5","1","0","0","0","1","57131.27","0.856","education","student","north"
"32","68499.32","10","9183.23","15","4","2","1","0","1","17078.6","0.249","medical","employed","south"
"43","21260.66","21","21549.53","21","10","0","0","0","1","28342.35","1.333","medical","student","east"
"52","73331.45","19","28167.93","34","3","2","0","0","0","29694.64","0.405","business","employed","north"
"43","40359.61","16","23895.38","23","8","0","1","0","0","30971.02","0.767","home_improvement","unemployed","north"
"40","31154.02","14","25909.92","22","6","2","1","0","0","24342.31","0.781","home_improvement","student","west"
"66","58831.78","42","1180.88","45","4","0","1","1","1","22907.61","0.389","personal","employed","west"
"26","61679.62","2","28363.92","10","8","0","0","1","1","21505.01","0.349","medical","employed","north"
"47","46129.88","6","4767.68","28","7","2","1","1","0","11360.09","0.246","auto","unemployed","west"
"46","76620.64","14","18114.5","26","4","0","0","1","0","24882.78","0.325","medical","unemployed","south"
"42","33156.5","12","18098.95","23","3","1","1","1","0","50429.69","1.521","education","employed","north"
"59","51861.13","9","20821.47","38","11","0","1","0","0","38160.23","0.736","education","employed","west"
"31","48302.52","7","19043.48","14","2","1","1","0","0","24558.77","0.508","personal","unemployed","south"
"67","59068.25","5","4874.28","48","11","2","1","1","0","32837.45","0.556","business","employed","south"
"35","65577.29","14","1198.41","13","6","0","0","0","0","6962.36","0.106","personal","self_employed","north"
"46","39842.14","8","25468.18","27","11","0","0","1","0","16092.32","0.404","home_improvement","employed","west"
"45","74485.65","3","17230.01","28","4","0","1","1","0","34217.75","0.459","medical","employed","south"
"62","61260.05","8","28792.52","39","7","2","1","0","1","42307.51","0.691","personal","unemployed","east"
"40","22161.07","6","14463.2","17","7","3","0","1","1","8437.01","0.381","auto","employed","north"
"32","20828.17","4","1861.97","10","4","3","0","1","1","12746.18","0.612","business","student","west"
"19","59753.61","0","26593.56","0","3","0","0","1","1","52720.64","0.882","business","employed","west"
"36","55580.65","5","10555.55","13","6","0","0","0","0","21443.92","0.386","auto","employed","east"
"60","57931.6","10","19104.04","38","8","1","1","0","1","47350.43","0.817","auto","employed","south"
